Angle_deg,Mass_kg,Bore_mm,Force_N,Volume_L,KE_J,Accel_g
5,27,73.5022790133544,4243.18035242987,158.357933289949,36687.4038197859,14.717813914909
6,27,73.5450402430236,4248.11887654103,158.357933289949,36687.4038197859,14.717813914909
7,27,73.5876605112597,4253.04397896845,158.357933289949,36687.4038197859,14.717813914909
8,27,73.6301270915461,4257.95415947821,158.357933289949,36687.4038197859,14.717813914909
9,27,73.672427325076,4262.84792238177,158.357933289949,36687.4038197859,14.717813914909
10,27,73.7145486242175,4267.72377699153,158.357933289949,36687.4038197859,14.717813914909
11,27,73.7564784759346,4272.58023807495,158.357933289949,36687.4038197859,14.717813914909
12,27,73.7982044451627,4277.41582630694,158.357933289949,36687.4038197859,14.717813914909
13,27,73.8397141781395,4282.22906872048,158.357933289949,36687.4038197859,14.717813914909
14,27,73.8809954056909,4287.0184991553,158.357933289949,36687.4038197859,14.717813914909
15,27,73.9220359464698,4291.78265870449,158.357933289949,36687.4038197859,14.717813914909
5,28,74.6076384677702,4371.76157523077,163.15665854116,37799.1433294763,14.717813914909
6,28,74.651042759534,4376.84975158773,163.15665854116,37799.1433294763,14.717813914909
7,28,74.694303970025,4381.92409954325,163.15665854116,37799.1433294763,14.717813914909
8,28,74.7374091813395,4386.9830734018,163.15665854116,37799.1433294763,14.717813914909
9,28,74.7803455443021,4392.02513215091,163.15665854116,37799.1433294763,14.717813914909
10,28,74.8231002819827,4397.04873993067,163.15665854116,37799.1433294763,14.717813914909
11,28,74.8656606931688,4402.05236650147,163.15665854116,37799.1433294763,14.717813914909
12,28,74.9080141557916,4407.03448771018,163.15665854116,37799.1433294763,14.717813914909
13,28,74.9501481303078,4411.99358595443,163.15665854116,37799.1433294763,14.717813914909
14,28,74.9920501630338,4416.92815064485,163.15665854116,37799.1433294763,14.717813914909
15,28,75.0337078894344,4421.83667866523,163.15665854116,37799.1433294763,14.717813914909
5,29,75.6968586885745,4500.34279803168,167.955383792371,38910.8828391668,14.717813914909
6,29,75.7408966531529,4505.58062663443,167.955383792371,38910.8828391668,14.717813914909
7,29,75.7847894475703,4510.80422011806,167.955383792371,38910.8828391668,14.717813914909
8,29,75.8285239653305,4516.01198732538,167.955383792371,38910.8828391668,14.717813914909
9,29,75.872087169669,4521.20234192006,167.955383792371,38910.8828391668,14.717813914909
10,29,75.9154660971213,4526.37370286981,167.955383792371,38910.8828391668,14.717813914909
11,29,75.9586478610457,4531.52449492798,167.955383792371,38910.8828391668,14.717813914909
12,29,76.0016196551002,4536.65314911342,167.955383792371,38910.8828391668,14.717813914909
13,29,76.0443687566727,4541.75810318839,167.955383792371,38910.8828391668,14.717813914909
14,29,76.0868825302643,4546.83780213441,167.955383792371,38910.8828391668,14.717813914909
15,29,76.1291484308261,4551.89069862598,167.955383792371,38910.8828391668,14.717813914909
5,30,76.7706266282784,4628.92402083258,172.754109043581,40022.6223488573,14.717813914909
6,30,76.8152892760381,4634.31150168113,172.754109043581,40022.6223488573,14.717813914909
7,30,76.8598046943826,4639.68434069286,172.754109043581,40022.6223488573,14.717813914909
8,30,76.9041595908988,4645.04090124896,172.754109043581,40022.6223488573,14.717813914909
9,30,76.9483407438943,4650.3795516892,172.754109043581,40022.6223488573,14.717813914909
10,30,76.9923350060166,4655.69866580895,172.754109043581,40022.6223488573,14.717813914909
11,30,77.0361293078255,4660.99662335449,172.754109043581,40022.6223488573,14.717813914909
12,30,77.0797106613197,4666.27181051666,172.754109043581,40022.6223488573,14.717813914909
13,30,77.1230661634154,4671.52262042234,172.754109043581,40022.6223488573,14.717813914909
14,30,77.1661829993781,4676.74745362396,172.754109043581,40022.6223488573,14.717813914909
15,30,77.2090484462058,4681.94471858672,172.754109043581,40022.6223488573,14.717813914909
5,31,77.8295818470012,4757.50524363349,177.552834294792,41134.3618585478,14.717813914909
6,31,77.8748605603838,4763.04237672783,177.552834294792,41134.3618585478,14.717813914909
7,31,77.9199900135049,4768.56446126766,177.552834294792,41134.3618585478,14.717813914909
